Issue Type,Summary,Description,Priority,Epic Name,Epic Link,Parent,Assignee,Labels,Story Points,Blocks
Epic,EX-M1-E01 Platform Spine & Security Foundation,"M1 Epic: CI, contracts, security baseline, tenancy protections, observability.",Highest,EX-M1-E01,,,,m1;platform;security,,
Story,"[F-040] CI Quality Gates","Set up lint, typecheck, unit/integration/e2e, build, migration checks as blocking gates.",Highest,,EX-M1-E01,,Platform Lead,"m1;f-040;platform",5,
Task,"Implement pipeline stages","Create CI stages for install, lint, typecheck, test, build.",Highest,,EX-M1-E01,,Platform Engineer,"m1;f-040;ci",3,
Task,"Add required status checks","Protect main branch with required checks.",Highest,,EX-M1-E01,,Platform Engineer,"m1;f-040;ci",2,
Story,"[F-146] Migration Lint Guardrails","Add migration lints for lock safety, rollback notes, index checks.",Highest,,EX-M1-E01,,Backend Lead,"m1;f-146;db",3,
Story,"[F-142] Standard Error Envelope","All APIs return typed error envelope with code/message/correlationId.",Highest,,EX-M1-E01,,Backend Lead,"m1;f-142;api",5,
Story,"[F-143] Correlation ID Propagation","Propagate correlation IDs through HTTP, workers, DB logs, external calls.",Highest,,EX-M1-E01,,Backend Lead,"m1;f-143;observability",5,"[F-040] CI Quality Gates"
Story,"[F-038] OpenTelemetry Baseline","Add traces for auth, jobs, apply, chat, scheduling, billing critical spans.",Highest,,EX-M1-E01,,Platform Engineer,"m1;f-038;otel",5,"[F-143] Correlation ID Propagation"
Story,"[F-039] Sentry Monitoring","Integrate Sentry for FE+BE with release tags and tenant-safe context.",High,,EX-M1-E01,,Platform Engineer,"m1;f-039;sentry",3,"[F-040] CI Quality Gates"
Story,"[F-155] Tenant-safe Query Helpers","Create tenant-scoped repository helpers and ban unsafe queries.",Highest,,EX-M1-E01,,Backend Lead,"m1;f-155;tenancy",5,
Story,"[F-156] Cross-tenant Access Test Harness","Automated security tests for cross-tenant access violations.",Highest,,EX-M1-E01,,QA Lead,"m1;f-156;security;qa",5,"[F-155] Tenant-safe Query Helpers"
Story,"[F-200] CSRF/XSS Hardening Gates","Security scanning + middleware hardening with CI fail-on-regression.",Highest,,EX-M1-E01,,Security Engineer,"m1;f-200;security",5,"[F-040] CI Quality Gates"
Story,"[F-202] PII Redaction in Logs/Traces","Redact sensitive fields across logs, traces, error reports.",Highest,,EX-M1-E01,,Platform Engineer,"m1;f-202;privacy",5,"[F-143] Correlation ID Propagation"
Story,"[F-031] Append-only Audit Ledger","Immutable audit events for auth, role changes, stage transitions, billing.",Highest,,EX-M1-E01,,Backend Engineer,"m1;f-031;audit",5,"[F-155] Tenant-safe Query Helpers"
Story,"[F-032] Rate Limiting + Abuse Controls","Per-user/per-tenant limits on auth/chat/scheduling endpoints.",Highest,,EX-M1-E01,,Backend Engineer,"m1;f-032;security",5,
Story,"[F-049] Zero-downtime Migration Workflow","Expand-contract deployment playbook and migration checks.",High,,EX-M1-E01,,Platform Lead,"m1;f-049;db",3,"[F-146] Migration Lint Guardrails"
Story,"[F-099] SLO Dashboard Baseline","Create latency/error/queue/reminder SLO dashboards and alerts.",High,,EX-M1-E01,,Ops Engineer,"m1;f-099;sre",3,"[F-038] OpenTelemetry Baseline"
Epic,EX-M1-E02 Identity Tenancy and Access,"M1 Epic: auth, org model, RBAC, password reset, baseline identity workflows.",Highest,EX-M1-E02,,,,m1;identity;tenancy,,
Story,"[F-001] User Registration","Candidate/employer registration with validation and role assignment.",Highest,,EX-M1-E02,,Backend Engineer,"m1;f-001;auth",5,"[F-142] Standard Error Envelope"
Story,"[F-002] Login/Logout","Session lifecycle with secure cookies/tokens and logout invalidation.",Highest,,EX-M1-E02,,Backend Engineer,"m1;f-002;auth",5,"[F-001] User Registration"
Story,"[F-151] Password Reset","Secure reset token issuance, expiry, one-time use.",High,,EX-M1-E02,,Backend Engineer,"m1;f-151;auth",3,"[F-002] Login/Logout"
Story,"[F-003] Org Creation + Membership","Employer org creation and team membership/invite structure.",Highest,,EX-M1-E02,,Backend Lead,"m1;f-003;tenancy",5,"[F-001] User Registration"
Story,"[F-004] RBAC Enforcement","Central policy checks for all protected routes/actions.",Highest,,EX-M1-E02,,Backend Lead,"m1;f-004;authz",8,"[F-003] Org Creation + Membership"
Story,"[F-152] Verification Resend/Cooldown","Resend verification with cooldown and abuse limits.",Medium,,EX-M1-E02,,Backend Engineer,"m1;f-152;auth",2,"[F-001] User Registration"
