feature_id,epic,module,feature_name,stakeholder,priority,status,complexity,dependencies,acceptance_criteria,api_artifacts,db_artifacts,ui_artifacts,worker_artifacts,observability_artifacts,test_unit,test_integration,test_e2e,demo_supported,demo_notes,security_risk,compliance_impact,owner,target_release,sprint,notes
F-001,Identity & Access,identity,User registration (candidate/employer),Candidate|Employer,P0,NOT_STARTED,M,,User can create account with role selection and verified email; invalid payloads rejected with typed errors,POST /v1/auth/register,users;sessions,Auth/Register page,,trace.auth.register;log.auth.register,true,true,true,true,Demo uses synthetic accounts and no real email,Medium,Medium,Backend+Frontend,R1,S1,
F-002,Identity & Access,identity,User login/logout,Candidate|Employer,P0,NOT_STARTED,S,F-001,User can login/logout securely with session lifecycle and error handling,POST /v1/auth/login|POST /v1/auth/logout,sessions,Auth/Login page,,trace.auth.login;log.auth.session,true,true,true,true,Demo login via one-click persona,High,Medium,Backend+Frontend,R1,S1,
F-003,Identity & Access,tenancy,Organization creation and membership,Employer|Agency,P0,NOT_STARTED,M,F-001,Employer can create org and invite team members with tenant isolation,POST /v1/orgs|POST /v1/orgs/:id/invite,organizations;organization_members,Org settings/invite UI,,trace.tenant.org;audit.org,true,true,true,false,,High,High,Backend+Frontend,R1,S1,
F-004,Identity & Access,authz,RBAC policy enforcement,All,P0,NOT_STARTED,M,F-003,Protected endpoints enforce role and tenant scope; denied actions return 403 with audit trail,ALL protected routes,roles;permissions;organization_members,,policy cache invalidation jobs,trace.authz.decision;audit.security,true,true,true,false,,High,High,Backend,R1,S1,
F-005,Identity & Access,security,MFA setup and challenge,Employer|Agency,P1,NOT_STARTED,M,F-002,User can enroll MFA and complete challenge on sensitive actions,POST /v1/auth/mfa/*,mfa_factors,Security settings UI,,trace.auth.mfa;log.security,true,true,true,false,,High,High,Backend+Frontend,R2,S3,
F-006,Candidate Profile,candidate,Candidate profile CRUD,Candidate,P0,NOT_STARTED,M,F-001,Candidate can create/update profile fields with validation and persistence,GET/POST/PATCH /v1/candidates,candidate_profiles,Candidate profile pages,,trace.candidate.profile,true,true,true,true,Demo profile is seeded and editable in sandbox,Medium,Medium,Backend+Frontend,R1,S2,
F-007,Candidate Profile,candidate,Profile versioning by role focus,Candidate,P1,NOT_STARTED,M,F-006,Candidate can create and switch profile versions (e.g. Frontend/Fullstack),POST /v1/candidates/:id/versions|GET /v1/candidates/:id/versions,candidate_profile_versions,Profile version selector,,trace.candidate.versions,true,true,true,true,Demo includes 2 sample versions,Low,Low,Backend+Frontend,R2,S4,
F-008,Candidate Profile,documents,Resume upload and parsing metadata,Candidate,P0,NOT_STARTED,M,F-006,Candidate uploads resume; metadata extracted; secure file handling enforced,POST /v1/candidates/:id/documents,candidate_documents,Resume uploader,document processing job,trace.docs.upload;log.docs,true,true,true,true,Demo uses synthetic resumes only,High,Medium,Backend+Frontend,R1,S2,
F-009,Candidate Profile,skills,Skill graph tagging and proficiency,Candidate,P1,NOT_STARTED,M,F-006,Candidate can add skills/proficiency with normalized taxonomy,POST/PATCH /v1/candidates/:id/skills,candidate_skills,Skills editor,,trace.candidate.skills,true,true,true,true,Pre-seeded skill taxonomy in demo,Low,Low,Backend+Frontend,R2,S4,
F-010,Employer Operations,employer,Employer profile and company page,Employer,P0,NOT_STARTED,M,F-003,Employer can maintain company profile and hiring details,GET/PATCH /v1/employers/me|PATCH /v1/companies/:id,employer_profiles;companies,Company profile UI,,trace.employer.profile,true,true,true,true,Demo company seeded,Low,Medium,Backend+Frontend,R1,S2,
F-011,Jobs,jobs,Job post creation/edit/publish,Employer,P0,NOT_STARTED,M,F-010,Employer can draft/publish/archive job posts with validation and audit,POST/PATCH /v1/jobs,job_posts;job_post_versions,Job editor UI,,trace.jobs.write;audit.jobs,true,true,true,true,Demo allows sandbox publish only,Medium,Medium,Backend+Frontend,R1,S2,
F-012,Jobs,jobs,Job listing/search/filter,Candidate|Employer,P0,NOT_STARTED,M,F-011,Users can browse/filter jobs with pagination and sorting,GET /v1/jobs,job_posts,Jobs list/filter UI,,trace.jobs.search,true,true,true,true,Demo has seeded jobs,Low,Low,Backend+Frontend,R1,S2,
F-013,Applications,applications,Apply to job,Candidate,P0,NOT_STARTED,M,F-006|F-011,Candidate can apply once per job; duplicate prevention enforced,POST /v1/jobs/:id/apply,applications,Apply flow UI,,trace.applications.apply;audit.apply,true,true,true,true,Demo supports apply with sandbox data,Medium,Medium,Backend+Frontend,R1,S3,
F-014,Applications,applications,Application stage transitions,Employer,P0,NOT_STARTED,M,F-013,Employer can move candidate across stages with audit + idempotency,POST /v1/applications/:id/stage,application_stage_events,Pipeline board UI,,trace.pipeline.transition;audit.stage,true,true,true,true,Demo allows transitions and reset,High,Medium,Backend+Frontend,R1,S3,
F-015,Applications,evaluation,Scorecards and interviewer feedback,Employer|Interviewer,P1,NOT_STARTED,M,F-014,Structured scorecards saved per interview with role rubric,POST /v1/interviews/sessions/:id/feedback,scorecards;interviewer_feedback,Scorecard UI,,trace.scorecards.write,true,true,true,true,Demo includes template rubrics,Medium,Medium,Backend+Frontend,R2,S5,
F-016,Messaging,chat,Private conversation creation,Employer|Candidate,P0,NOT_STARTED,M,F-003|F-006,Authorized users can create private conversation with tenant-scoped access,POST /v1/conversations,conversations;conversation_participants,New conversation UI,,trace.chat.conversation,true,true,true,true,Demo supports seeded and new conversations,High,Medium,Backend+Frontend,R1,S3,
F-017,Messaging,chat,Send/receive messages with receipts,Employer|Candidate,P0,NOT_STARTED,M,F-016,Messages persist durably with sent/delivered/read states,POST /v1/conversations/:id/messages|POST /v1/conversations/:id/read,messages;message_receipts,Chat thread UI,realtime fanout job,trace.chat.message;log.chat.delivery,true,true,true,true,Demo fully enabled with sandbox events,High,Medium,Backend+Frontend,R1,S3,
F-018,Messaging,chat,Message attachments,Employer|Candidate,P1,NOT_STARTED,M,F-017,Authorized participants can attach files with signed URLs and scan hooks,POST /v1/conversations/:id/attachments,message_attachments,Attachment UI,file scan job,trace.chat.attachments,true,true,true,true,Demo uses safe file types only,High,High,Backend+Frontend,R2,S5,
F-019,Scheduling,scheduling,Meeting request creation,Employer|Candidate,P0,NOT_STARTED,M,F-016,User can request meeting with proposed times and timezone-safe payload,POST /v1/meetings/request,meeting_requests;meeting_participants,Meeting request modal,,trace.meeting.request;audit.meeting,true,true,true,true,Demo supports meeting request flows,Medium,Medium,Backend+Frontend,R1,S4,
F-020,Scheduling,scheduling,Accept meeting request,Employer|Candidate,P0,NOT_STARTED,M,F-019,User can accept pending request; slot validated; reminders created; idempotent replay safe,POST /v1/meetings/:id/accept,meeting_status_events;idempotency_keys,Meeting inbox actions,reminder schedule job,trace.meeting.accept;audit.meeting,true,true,true,true,Demo supports accept and reset,High,Medium,Backend+Frontend,R1,S4,
F-021,Scheduling,scheduling,Deny meeting request,Employer|Candidate,P0,NOT_STARTED,S,F-019,User can deny with reason; requester notified; idempotent handling,POST /v1/meetings/:id/deny,meeting_status_events;idempotency_keys,Meeting inbox actions,notification job,trace.meeting.deny;audit.meeting,true,true,true,true,Demo supports deny and reset,Medium,Medium,Backend+Frontend,R1,S4,
F-022,Scheduling,scheduling,Reschedule meeting request,Employer|Candidate,P0,NOT_STARTED,M,F-020|F-021,User can reschedule with lineage; old reminders canceled and new scheduled,POST /v1/meetings/:id/reschedule,meeting_reschedule_events;meeting_status_events;idempotency_keys,Reschedule UI,reminder cancel/recreate jobs,trace.meeting.reschedule;audit.meeting,true,true,true,true,Demo supports reschedule branch paths,High,Medium,Backend+Frontend,R1,S4,
F-023,Scheduling,reminders,Reminder engine (T-24/T-1/T-10),All,P0,NOT_STARTED,M,F-020,Reminders fire reliably with retries dedupe and delivery logs,,reminder_jobs;reminder_delivery_events,Reminder timeline UI,reminder dispatcher job,trace.reminder.dispatch;metrics.reminder.success,true,true,true,true,Demo reminders use accelerated timing mode,Medium,Low,Backend+Frontend,R1,S4,
F-024,Interview,interview,Video room creation/token issuance,Employer|Candidate,P0,NOT_STARTED,M,F-022,Authorized host can create room and issue participant tokens with TTL,POST /v1/interviews/rooms|POST /v1/interviews/rooms/:id/token,video_rooms;video_room_tokens,Interview launch UI,token refresh job,trace.interview.room;audit.interview,true,true,true,true,Demo uses sandbox room provider,High,Medium,Backend+Frontend,R2,S6,
F-025,Interview,interview,Video session event tracking,Employer|Candidate,P1,NOT_STARTED,M,F-024,Join/leave/network events persisted and queryable for QA/compliance,POST /v1/interviews/sessions/:id/events,video_sessions;video_session_participants;video_session_events,Session diagnostics UI,aggregation job,trace.interview.events;metrics.call.quality,true,true,true,true,Demo shows synthetic network events,Medium,Medium,Backend+Frontend,R2,S6,
F-026,Interview,interview,PiP interview mode UI state,Employer|Candidate,P1,NOT_STARTED,M,F-024,PiP toggle state persists per session and restores reliably,,pip_session_states,PiP controls and layout,,trace.ui.pip.toggle,true,true,true,true,Demo supports PiP without external dependencies,Low,Low,Frontend,R2,S6,
F-027,Billing,billing,Plan catalog and entitlements,Employer|Agency,P0,NOT_STARTED,M,,Plans and included features are queryable and enforced at runtime,GET /v1/billing/plans,plans;plan_features;entitlements,Pricing and plan details UI,,trace.billing.plans,true,true,true,true,Demo uses sandbox plans,Medium,Medium,Backend+Frontend,R2,S6,
F-028,Billing,billing,Subscription create/update/cancel,Employer|Agency,P0,NOT_STARTED,M,F-027,Subscription lifecycle works end-to-end with idempotent webhooks and audit,POST/PATCH /v1/billing/subscriptions,subscriptions;subscription_items;payment_events,Billing settings UI,billing sync job,trace.billing.subscriptions;audit.billing,true,true,true,true,Demo billing is non-charge sandbox mode,High,High,Backend+Frontend,R2,S7,
F-029,Billing,billing,Usage metering and limits,Employer|Agency,P1,NOT_STARTED,M,F-028,Usage counters update accurately and enforce plan limits gracefully,GET /v1/billing/usage,usage_meters;entitlements,Usage dashboard UI,meter rollup job,trace.billing.usage;metrics.metering,true,true,true,true,Demo shows synthetic meter progression,Medium,Medium,Backend+Frontend,R3,S8,
