feature_id,milestone,status,api_pr,db_pr,ui_pr,worker_pr,tests_pr,observability_pr,security_review,qa_signoff,demo_impact,risk_level,blocker,owner,target_sprint,evidence_links
F-001,M1,NOT_STARTED,,,,,,,N/A,PENDING,YES,MED,,Backend Engineer,S1,
F-002,M1,NOT_STARTED,,,,,,,N/A,PENDING,YES,MED,,Backend Engineer,S1,
F-003,M1,NOT_STARTED,,,,,,,N/A,PENDING,NO,HIGH,,Backend Lead,S1,
F-004,M1,NOT_STARTED,,,,,,,N/A,PENDING,NO,HIGH,,Backend Lead,S1,
F-005,M2,NOT_STARTED,,,,,,,N/A,PENDING,NO,HIGH,,Backend+Frontend,S3,
F-006,M1,NOT_STARTED,,,,,,,N/A,PENDING,YES,MED,,Frontend Lead,S2,
F-007,M2,NOT_STARTED,,,,,,,N/A,PENDING,YES,LOW,,Backend+Frontend,S4,
F-008,M2,NOT_STARTED,,,,,,,N/A,PENDING,YES,HIGH,,Backend+Frontend,S2,
F-009,M2,NOT_STARTED,,,,,,,N/A,PENDING,YES,LOW,,Backend+Frontend,S4,
F-010,M1,NOT_STARTED,,,,,,,N/A,PENDING,YES,LOW,,Frontend Engineer,S2,
F-011,M1,NOT_STARTED,,,,,,,N/A,PENDING,YES,MED,,Backend Engineer,S2,
F-012,M1,NOT_STARTED,,,,,,,N/A,PENDING,YES,LOW,,Frontend Engineer,S2,
F-013,M1,NOT_STARTED,,,,,,,N/A,PENDING,YES,MED,,Backend Engineer,S3,
F-014,M1,NOT_STARTED,,,,,,,N/A,PENDING,YES,HIGH,,Backend Lead,S3,
F-015,M1,NOT_STARTED,,,,,,,N/A,PENDING,YES,MED,,Frontend Lead,S4,
F-016,M1,NOT_STARTED,,,,,,,N/A,PENDING,YES,HIGH,,Backend Engineer,S3,
F-017,M1,NOT_STARTED,,,,,,,N/A,PENDING,YES,HIGH,,Backend Lead,S3,
F-018,M2,NOT_STARTED,,,,,,,N/A,PENDING,YES,HIGH,,Backend+Frontend,S5,
F-019,M1,NOT_STARTED,,,,,,,N/A,PENDING,YES,MED,,Backend Engineer,S3,
F-020,M1,NOT_STARTED,,,,,,,N/A,PENDING,YES,HIGH,,Backend Engineer,S3,
F-021,M1,NOT_STARTED,,,,,,,N/A,PENDING,YES,MED,,Backend Engineer,S3,
F-022,M1,NOT_STARTED,,,,,,,N/A,PENDING,YES,HIGH,,Backend Lead,S3,
F-023,M1,NOT_STARTED,,,,,,,N/A,PENDING,YES,MED,,Backend Engineer,S3,
F-024,M1,NOT_STARTED,,,,,,,N/A,PENDING,YES,HIGH,,Backend Lead,S4,
